Wall time,Step,Value
1751291011.638155,5,16786.1875
1751291013.77777,18,16223.01953125
1751291015.208896,24,17317.0390625
1751291019.0345778,40,17308.3515625
1751291019.5097358,42,16427.1875
1751291020.232835,45,14639.6171875
1751291020.7187781,47,15987.654296875
1751291023.4565618,53,15891.6552734375
1751291024.172128,56,16526.599609375
1751291027.72825,71,16308.6240234375
1751291028.439841,74,16307.759765625
1751291029.6237829,79,14446.97265625
1751291031.931447,87,15701.185546875
1751291034.00932,94,13201.712890625
1751291037.263829,102,14350.419921875
1751291038.019045,105,13760.3466796875
1751291038.265903,106,15538.37109375
1751291040.042978,113,16223.7744140625
1751291043.3479738,126,14777.8203125
1751291046.73515,139,13587.3251953125
1751291050.653304,150,15856.9814453125
1751291051.9163861,155,14478.16796875
1751291052.670472,158,14591.908203125
1751291054.9345448,167,15910.6572265625
1751291055.186638,168,13106.900390625
1751291057.74684,178,14712.1611328125
1751291059.034049,183,16241.7265625
1751291059.5441332,185,14785.3876953125
1751291059.7966259,186,13560.12890625
1751291060.810188,190,12004.875
1751291062.904106,198,14543.541015625
1751291066.839009,206,12950.53515625
1751291067.043988,207,13912.21484375
1751291068.2926311,212,13585.830078125
1751291071.391107,223,12239.0048828125
1751291072.838321,229,12999.0537109375
1751291074.0886889,234,14644.453125
1751291074.822772,237,12880.9375
1751291077.7135859,249,12622.890625
1751291080.3311949,255,13844.861328125
1751291081.61634,260,13933.6318359375
1751291083.6933272,267,13542.142578125
1751291084.6577148,271,13744.8740234375
1751291085.175797,273,13071.53515625
1751291090.375227,292,12322.1904296875
1751291091.702325,297,13335.494140625
1751291092.09647,298,12565.6669921875
1751291094.53358,303,13001.009765625
1751291095.7900622,308,11981.748046875
1751291096.301586,310,11189.998046875
1751291098.430961,318,13520.83984375
1751291098.698025,319,13745.3203125
1751291100.546617,326,12587.83984375
1751291101.542654,330,12944.193359375
1751291103.70065,339,9451.91796875
1751291105.603921,347,10497.2568359375
1751291110.5645041,363,11121.587890625
1751291111.514573,367,11123.794921875
1751291112.928386,373,11604.2724609375
1751291113.864362,377,10798.9599609375
1751291114.333639,379,10423.8232421875
1751291125.489116,421,10140.9921875
1751291125.733073,422,11077.27734375
1751291126.209742,424,10010.9521484375
1751291127.640672,430,9282.240234375
1751291129.811307,439,11442.53515625
1751291130.291104,441,10242.39453125
1751291130.528191,442,11792.458984375
1751291131.2430139,445,10846.826171875
1751291133.7474408,451,10419.509765625
1751291135.948834,460,9115.3564453125
1751291136.665879,463,10020.1455078125
1751291136.905631,464,10142.82421875
1751291139.296792,474,10597.068359375
1751291143.38529,491,10185.263671875
1751291143.870481,493,8626.646484375
1751291148.421132,507,10189.126953125
1751291149.635788,512,9518.421875
1751291150.1208441,514,9226.4794921875
1751291150.83986,517,9154.9482421875
1751291152.740649,525,9661.30859375
1751291154.1760309,531,9781.59765625
1751291154.650103,533,8800.4228515625
1751291155.363638,536,8978.5
1751291156.975359,542,8615.3056640625
1751291158.298115,547,8869.904296875
1751291162.0465379,557,9264.658203125
1751291163.479917,563,10133.005859375
1751291164.923923,569,9560.8125
1751291165.8808231,573,9219.6328125
1751291167.316044,579,8272.4169921875
1751291167.795525,581,7398.73193359375
1751291168.0340748,582,7880.50537109375
1751291168.516002,584,8078.86669921875
1751291168.99647,586,9283.447265625
1751291169.23705,587,7733.38720703125
1751291170.443056,592,9006.1416015625
1751291170.6884851,593,8858.7529296875
1751291174.05146,602,9218.083984375
1751291175.487944,608,8053.9013671875
1751291175.963129,610,6491.53857421875
1751291177.1591969,615,7829.986328125
1751291178.354367,620,7586.9541015625
1751291178.828987,622,8255.44140625
1751291181.682952,634,7470.248046875
1751291183.353899,641,7228.7587890625
1751291183.591469,642,7260.4169921875
1751291184.0747871,644,7981.43115234375
1751291184.55794,646,7157.33251953125
1751291184.797261,647,7043.5224609375
1751291185.276629,649,7049.22705078125
1751291189.207097,661,7632.22314453125
1751291189.919884,664,7542.87353515625
1751291190.959127,668,7445.8828125
1751291191.708919,671,6767.0
1751291192.433923,674,7518.2109375
1751291193.395194,678,5992.529296875
1751291193.635107,679,6872.0400390625
1751291194.591945,683,7848.447265625
1751291195.815546,688,7146.4248046875
1751291198.540419,699,6512.6259765625
1751291200.637557,703,8815.2119140625
1751291201.358371,706,8365.599609375
1751291203.269362,714,6599.69482421875
1751291204.221735,718,6789.625
1751291204.943298,721,6901.1435546875
1751291205.1885061,722,7453.560546875
1751291205.4347572,723,6451.7919921875
1751291207.141064,730,7170.96826171875
1751291208.5973802,736,7577.353515625
1751291209.0812092,738,6829.12060546875
1751291209.326046,739,6141.3466796875
1751291210.298306,743,6855.857421875
1751291211.273505,747,6618.6220703125
1751291213.238642,751,7641.78759765625
1751291213.496917,752,6326.224609375
1751291214.46291,756,5082.916015625
1751291216.616374,765,6249.890625
1751291217.574087,769,6402.8662109375
1751291217.817251,770,6738.56640625
1751291218.056278,771,6714.95166015625
1751291218.53249,773,6673.3486328125
1751291218.771193,774,6067.92431640625
1751291220.2227268,780,5986.380859375
1751291221.1939762,784,6562.4853515625
1751291221.440938,785,5742.0205078125
1751291221.929657,787,7326.70263671875
1751291222.4124942,789,5114.0791015625
1751291223.129091,792,4506.58642578125
1751291223.3703969,793,5778.6845703125
1751291223.609096,794,6255.44921875
1751291223.8459132,795,5543.4189453125
1751291224.5587058,798,6490.974609375
1751291226.8769112,802,5501.10498046875
